"No.","Time","Source","Destination","Protocol","Length","Info"
"154","2.107952","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"155","2.108214","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"156","2.108362","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"157","2.108364","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"158","2.108364","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1213","443  >  54970 Len=1151"
"159","2.108364","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"160","2.108364","2800:3f0:4001:82d::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TLSv1.3","452","Server Hello, Change Cipher Spec, Application Data"
"161","2.108364","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=d603a32879ac4a8c, PKN: 1, ACK, PADDING"
"162","2.108364","34.130.135.16","192.168.0.14","TCP","56","[TCP Previous segment not captured] 443  >  58906 [FIN, ACK] Seq=2 Ack=2 Win=501 Len=0"
"163","2.108471","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"164","2.110903","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2003","TLSv1.3","148","Change Cipher Spec, Application Data"
"165","2.114093","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"166","2.114923","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","856","Protected Payload (KP0)"
"167","2.114923","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","226","Protected Payload (KP0)"
"168","2.114923","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"169","2.114923","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","200","Protected Payload (KP0)"
"170","2.114985","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","141","Handshake, DCID=d603a32879ac4a8c"
"171","2.115194","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","93","Protected Payload (KP0), DCID=d603a32879ac4a8c"
